,Question,Answer,Category,Article,Topic
10,"What does China's foreign minister deny regarding its involvement in the Russia-Ukraine conflict? 
a) Providing military support to Russia
b) Sanctioning Ukraine
c) Mediating peace talks
d) Enforcing a no-fly zone",A,Causal Questions,"China’s foreign minister told his US counterpart that Beijing denies charges that it is helping Russia’s war effort in Ukraine.
Ukrainian attack drones damaged a Russian Tu-22M3 strategic bomber at a military airfield in northern Russia, a military intelligence source told Reuters on Saturday.
Ukrainian media outlet Ukrainska Pravda reported that in further attacks on Russia, military airfield were hit in the city of Engels in the Saratov region and Dyagilevo in the Ryazan region.
Russia’s defence ministry said its forces had taken control of the settlement of Lozuvatske in the Donetsk region of Ukraine, Interfax news agency reported, as the Russians advanced towards the city of Pokrovsk.
In southern Russia’s Belgorod region, the regional governor, Vyacheslav Gladkov, said Ukrainian shelling and drone attacks killed one person, injured two and damaged homes and other buildings.",Russio-Ukraine
11,"Question: How many individuals were reported injured in the Belgorod region due to Ukrainian actions?

a) None
b) One
c) Two
d) Three",C,Quantitative Questions,"China’s foreign minister told his US counterpart that Beijing denies charges that it is helping Russia’s war effort in Ukraine.
Ukrainian attack drones damaged a Russian Tu-22M3 strategic bomber at a military airfield in northern Russia, a military intelligence source told Reuters on Saturday.
Ukrainian media outlet Ukrainska Pravda reported that in further attacks on Russia, military airfield were hit in the city of Engels in the Saratov region and Dyagilevo in the Ryazan region.
Russia’s defence ministry said its forces had taken control of the settlement of Lozuvatske in the Donetsk region of Ukraine, Interfax news agency reported, as the Russians advanced towards the city of Pokrovsk.
In southern Russia’s Belgorod region, the regional governor, Vyacheslav Gladkov, said Ukrainian shelling and drone attacks killed one person, injured two and damaged homes and other buildings.",Russio-Ukraine
12,"Who was actively seeking to ban Russian and Belarusian athletes from the Paris Olympic Games? 
a) Elina Svitolina and the International Olympic Committee
b) Wladimir Klitschko and the National Olympic Committee of Russia
c) Artem Khudolieiev, the Ukrainian NOC, and the Ministry of Sport
d) The Ministry of Sport of Russia and Belarus",c,Event-based Questions,"Kyiv  CNN —  Many high-profile Ukrainians had called for all Russian and Belarusian athletes to be banned from this year's Olympic Games , including tennis star Elina Svitolina and former boxer Wladimir Klitschko.
Khudolieiev, who works as a publishing editor for the Watchers Media website, then enlisted the support of the National Olympic Committee (NOC) of Ukraine and the Ministry of Sport, which had also been actively lobbying for the exclusion of Russian and Belarusian athletes who supported the war from the Olympics.
  
And if there are any opportunities to punish it, then it should be done.”
  Ad Feedback
  Following Russia's full-scale invasion of Ukraine in February 2022, Russian and Belarusian athletes were suspended from almost all elite sporting competitions
  “Knowing how the International Olympic Committee (IOC) works, what lobbying opportunities officials have in various federations, I understood that they [athletes] would be returned closer to the Olympics,” said Khudolieiev.
  
Journalist Artem Khudolieiev was another Ukrainian who felt passionately that Russian and Belarusian athletes shouldn't be allowed to compete at the Paris Olympics for having openly supported the war in Ukraine.
  As a result, he started checking the social media output of Russian and Belarusian athletes as well as watching videos of various events held in the two countries.
The journalist saved the videos of the athletes and, in the belief that they showed Khramtsov and Larin's support for the war in Ukraine, Khudolieiev said he sent this information – in more than 30 emails – to officials of World Taekwondo and some national federations of taekwondo.
  ",Russio-Ukraine
13,"What organization did Khudolieiev enlist for support to exclude Russian and Belarusian athletes from the Olympics? 
a) National Olympic Committee of Belarus
b) International Taekwondo Federation
c) National Olympic Committee of Ukraine
d) United Nations",c,Location-based Questions,"Kyiv  CNN —  Many high-profile Ukrainians had called for all Russian and Belarusian athletes to be banned from this year's Olympic Games , including tennis star Elina Svitolina and former boxer Wladimir Klitschko.
Khudolieiev, who works as a publishing editor for the Watchers Media website, then enlisted the support of the National Olympic Committee (NOC) of Ukraine and the Ministry of Sport, which had also been actively lobbying for the exclusion of Russian and Belarusian athletes who supported the war from the Olympics.
  
And if there are any opportunities to punish it, then it should be done.”
  Ad Feedback
  Following Russia's full-scale invasion of Ukraine in February 2022, Russian and Belarusian athletes were suspended from almost all elite sporting competitions
  “Knowing how the International Olympic Committee (IOC) works, what lobbying opportunities officials have in various federations, I understood that they [athletes] would be returned closer to the Olympics,” said Khudolieiev.
  
Journalist Artem Khudolieiev was another Ukrainian who felt passionately that Russian and Belarusian athletes shouldn't be allowed to compete at the Paris Olympics for having openly supported the war in Ukraine.
  As a result, he started checking the social media output of Russian and Belarusian athletes as well as watching videos of various events held in the two countries.
The journalist saved the videos of the athletes and, in the belief that they showed Khramtsov and Larin's support for the war in Ukraine, Khudolieiev said he sent this information – in more than 30 emails – to officials of World Taekwondo and some national federations of taekwondo.
  ",Russio-Ukraine
14,"Why were Russian and Belarusian athletes suspended from most elite sporting events? 
 a) For failing anti-doping tests 
 b) Due to open support for the conflict in Ukraine 
 c) As a result of global warming initiatives 
 d) For not meeting the Olympic qualifying standards",b,Causal Questions,"Kyiv  CNN —  Many high-profile Ukrainians had called for all Russian and Belarusian athletes to be banned from this year's Olympic Games , including tennis star Elina Svitolina and former boxer Wladimir Klitschko.
Khudolieiev, who works as a publishing editor for the Watchers Media website, then enlisted the support of the National Olympic Committee (NOC) of Ukraine and the Ministry of Sport, which had also been actively lobbying for the exclusion of Russian and Belarusian athletes who supported the war from the Olympics.
  
And if there are any opportunities to punish it, then it should be done.”
  Ad Feedback
  Following Russia's full-scale invasion of Ukraine in February 2022, Russian and Belarusian athletes were suspended from almost all elite sporting competitions
  “Knowing how the International Olympic Committee (IOC) works, what lobbying opportunities officials have in various federations, I understood that they [athletes] would be returned closer to the Olympics,” said Khudolieiev.
  
Journalist Artem Khudolieiev was another Ukrainian who felt passionately that Russian and Belarusian athletes shouldn't be allowed to compete at the Paris Olympics for having openly supported the war in Ukraine.
  As a result, he started checking the social media output of Russian and Belarusian athletes as well as watching videos of various events held in the two countries.
The journalist saved the videos of the athletes and, in the belief that they showed Khramtsov and Larin's support for the war in Ukraine, Khudolieiev said he sent this information – in more than 30 emails – to officials of World Taekwondo and some national federations of taekwondo.
  ",Russio-Ukraine
15,"What action does the International Criminal Court expect Mongolia to take regarding Vladimir Putin's potential visit?
a) Allow him entry without any conditions
b) Arrest and extradite him to the ICC
c) Provide him with diplomatic immunity
d) Offer him political asylum",b,Event-based Questions,"Sofia Ferreira Santos  Mongolian officials ""have the obligation"" to arrest Vladimir Putin if he visits the country next week, the International Criminal Court (ICC) has said.
 
The court alleges Mr Putin is responsible for war crimes, saying he failed to stop the unlawful deportation of children from Ukraine to Russia since the conflict began.
  
Ukraine's foreign ministry said it hoped Mongolia was ""aware of the fact that Vladimir Putin is a war criminal"" and called on the country's authorities to arrest the Russian leader and hand him over to prosecutors at The Hague, the seat of the ICC in the Netherlands.
  
Last year, Mr Putin cancelled a visit to a summit in South Africa following the ICC warrant for his arrest.
  
""Of course, all aspects of the President's visit have been carefully prepared.""
  Dr Fadi el-Abdallah, a spokesperson for the ICC, told the BBC on Friday that the court relies on its States Parties - including Mongolia - to ""execute its decisions"".
  ",Russio-Ukraine
16,"Why does the ICC believe Mongolia should arrest Vladimir Putin if he visits? 
a) Because Mongolia has a history of arresting foreign leaders 
b) Due to an existing extradition treaty between Mongolia and Ukraine 
c) As a member state of the ICC, Mongolia must enforce court decisions 
d) Because Putin has expressed willingness to face charges",c,Causal Questions,"Sofia Ferreira Santos  Mongolian officials ""have the obligation"" to arrest Vladimir Putin if he visits the country next week, the International Criminal Court (ICC) has said.
 
The court alleges Mr Putin is responsible for war crimes, saying he failed to stop the unlawful deportation of children from Ukraine to Russia since the conflict began.
  
Ukraine's foreign ministry said it hoped Mongolia was ""aware of the fact that Vladimir Putin is a war criminal"" and called on the country's authorities to arrest the Russian leader and hand him over to prosecutors at The Hague, the seat of the ICC in the Netherlands.
  
Last year, Mr Putin cancelled a visit to a summit in South Africa following the ICC warrant for his arrest.
  
""Of course, all aspects of the President's visit have been carefully prepared.""
  Dr Fadi el-Abdallah, a spokesperson for the ICC, told the BBC on Friday that the court relies on its States Parties - including Mongolia - to ""execute its decisions"".
  ",Russio-Ukraine
17,"Who does the International Criminal Court (ICC) hold responsible for not preventing the illegal deportation of children from Ukraine to Russia?

a) The United Nations Security Council
b) The Prime Minister of Ukraine
c) Vladimir Putin
d) The President of Mongolia",c,People/Actor-based Questions,"Sofia Ferreira Santos  Mongolian officials ""have the obligation"" to arrest Vladimir Putin if he visits the country next week, the International Criminal Court (ICC) has said.
 
The court alleges Mr Putin is responsible for war crimes, saying he failed to stop the unlawful deportation of children from Ukraine to Russia since the conflict began.
  
Ukraine's foreign ministry said it hoped Mongolia was ""aware of the fact that Vladimir Putin is a war criminal"" and called on the country's authorities to arrest the Russian leader and hand him over to prosecutors at The Hague, the seat of the ICC in the Netherlands.
  
Last year, Mr Putin cancelled a visit to a summit in South Africa following the ICC warrant for his arrest.
  
""Of course, all aspects of the President's visit have been carefully prepared.""
  Dr Fadi el-Abdallah, a spokesperson for the ICC, told the BBC on Friday that the court relies on its States Parties - including Mongolia - to ""execute its decisions"".
  ",Russio-Ukraine
18,"What is the primary reason the ICC alleges Vladimir Putin committed war crimes? 
a) Funding separatist movements in Ukraine
b) Unlawful deportation of children from Ukraine to Russia
c) Supplying weapons to insurgents in Ukraine
d) Destroying cultural heritage sites in Ukraine",b,Causal Questions,"Sofia Ferreira Santos  Mongolian officials ""have the obligation"" to arrest Vladimir Putin if he visits the country next week, the International Criminal Court (ICC) has said.
 
The court alleges Mr Putin is responsible for war crimes, saying he failed to stop the unlawful deportation of children from Ukraine to Russia since the conflict began.
  
Ukraine's foreign ministry said it hoped Mongolia was ""aware of the fact that Vladimir Putin is a war criminal"" and called on the country's authorities to arrest the Russian leader and hand him over to prosecutors at The Hague, the seat of the ICC in the Netherlands.
  
Last year, Mr Putin cancelled a visit to a summit in South Africa following the ICC warrant for his arrest.
  
""Of course, all aspects of the President's visit have been carefully prepared.""
  Dr Fadi el-Abdallah, a spokesperson for the ICC, told the BBC on Friday that the court relies on its States Parties - including Mongolia - to ""execute its decisions"".
  ",Russio-Ukraine
19,"What action did the ICC urge Mongolia to undertake if Vladimir Putin visits the country as a signatory to its decisions? 
a) Host him with state honors
b) Ensure his safety during the visit
c) Arrest him for alleged war crimes
d) Provide military escort",c,Procedural Questions,"Sofia Ferreira Santos  Mongolian officials ""have the obligation"" to arrest Vladimir Putin if he visits the country next week, the International Criminal Court (ICC) has said.
 
The court alleges Mr Putin is responsible for war crimes, saying he failed to stop the unlawful deportation of children from Ukraine to Russia since the conflict began.
  
Ukraine's foreign ministry said it hoped Mongolia was ""aware of the fact that Vladimir Putin is a war criminal"" and called on the country's authorities to arrest the Russian leader and hand him over to prosecutors at The Hague, the seat of the ICC in the Netherlands.
  
Last year, Mr Putin cancelled a visit to a summit in South Africa following the ICC warrant for his arrest.
  
""Of course, all aspects of the President's visit have been carefully prepared.""
  Dr Fadi el-Abdallah, a spokesperson for the ICC, told the BBC on Friday that the court relies on its States Parties - including Mongolia - to ""execute its decisions"".
  ",Russio-Ukraine
20,"Which of the following leaders has played a significant role in Europe's response to the invasion of Ukraine? 
a) Vladimir Putin 
b) Emmanuel Macron 
c) Angela Merkel 
d) Boris Johnson",b,People/Actor-based Questions,"Paris  CNN —  US President Joe Biden will touch down in Paris on Wednesday for a trip marking the 80th anniversary of D-Day and engaging in a state visit hosted by French President Emmanuel Macron.
 
After the speech from Pointe-du-Hoc on Friday – a place famous in American military history for the heroic climb of Army Rangers up its 100-foot cliffs where they were able to neutralize German guns firing down on the beach – Biden is set to be fêted with a state visit by French President Emmanuel Macron, returning the favor Biden offered the French leader in 2022
  Ad Feedback
  Macron has been one of the key leaders in Europe's response to Russia's invasion of Ukraine.
In Normandy, Biden and other Western leaders will recount one particular challenge facing allied forces on June 6, 1944 – the largest military invasion by sea in history – which counted more than 10,000 casualties and became a pivotal moment in the war against Nazi Germany.
Biden quietly gave Ukraine permission to use those weapons; Macron was less subtle in his support for the measure.
  
But the task at hand will be far loftier, as Biden seeks to deepen ties with transatlantic allies as Europe faces a re-energized Russia inside Ukraine, the looming threat of China and the risk posed by elections that could upset the current geopolitical order.
  ",Russio-Ukraine
21,"What was the result of Ukrainian drone attacks on Russia's southern Rostov region? 
a) It caused a small fire. 
b) It destroyed a military base. 
c) It ignited a large fire at an oil storage facility. 
d) It disrupted air traffic.",C,Event-based Questions,"Mayor says no damage or casualties reported as 11 drones are downed  Live feed  Good morning and welcome to our coverage of the Russia-Ukraine war.
Russia hit energy infrastructure in northern Ukraine in a missile and drone attack and caused a huge fire that released chlorine into the air , Ukrainian officials said on Tuesday.
The fumes came from an industrial facility that was attacked in the western region of Ternopil
  Ukrainian forces shot down three ballistic missiles and 25 of the 26 drones launched in Tuesday morning's attack on nine regions, Ukraine's air force commander said.
Ukrainian drones attacked an oil storage facility in Russia's southern Rostov region on Sunday, causing a large fire, the local governor said.
  
Russian air defences shot down 11 Ukrainian drones targeting Moscow, “one of the largest” such strikes ever against the capital, officials said on Wednesday.
  ",Russio-Ukraine
22,"Where did Ukrainian forces reportedly cause a large fire by attacking an oil storage facility? 
a) Ternopil Region 
b) Rostov Region 
c) Northern Ukraine 
d) Moscow",b,Location-based Questions,"Mayor says no damage or casualties reported as 11 drones are downed  Live feed  Good morning and welcome to our coverage of the Russia-Ukraine war.
Russia hit energy infrastructure in northern Ukraine in a missile and drone attack and caused a huge fire that released chlorine into the air , Ukrainian officials said on Tuesday.
The fumes came from an industrial facility that was attacked in the western region of Ternopil
  Ukrainian forces shot down three ballistic missiles and 25 of the 26 drones launched in Tuesday morning's attack on nine regions, Ukraine's air force commander said.
Ukrainian drones attacked an oil storage facility in Russia's southern Rostov region on Sunday, causing a large fire, the local governor said.
  
Russian air defences shot down 11 Ukrainian drones targeting Moscow, “one of the largest” such strikes ever against the capital, officials said on Wednesday.
  ",Russio-Ukraine
23,"What led to the release of chlorine fumes in Ukraine? 
a) A chemical plant malfunction 
b) An attack on an industrial site 
c) A natural disaster 
d) A coal mine explosion",B,Causal Questions,"Mayor says no damage or casualties reported as 11 drones are downed  Live feed  Good morning and welcome to our coverage of the Russia-Ukraine war.
Russia hit energy infrastructure in northern Ukraine in a missile and drone attack and caused a huge fire that released chlorine into the air , Ukrainian officials said on Tuesday.
The fumes came from an industrial facility that was attacked in the western region of Ternopil
  Ukrainian forces shot down three ballistic missiles and 25 of the 26 drones launched in Tuesday morning's attack on nine regions, Ukraine's air force commander said.
Ukrainian drones attacked an oil storage facility in Russia's southern Rostov region on Sunday, causing a large fire, the local governor said.
  
Russian air defences shot down 11 Ukrainian drones targeting Moscow, “one of the largest” such strikes ever against the capital, officials said on Wednesday.
  ",Russio-Ukraine
24,"Who stated that there was no harm or casualties after drones were downed? 
a) Russian defense minister 
b) Ukrainian president 
c) Moscow's mayor 
d) Ternopil's governor",c,People/Actor-based Questions,"Mayor says no damage or casualties reported as 11 drones are downed  Live feed  Good morning and welcome to our coverage of the Russia-Ukraine war.
Russia hit energy infrastructure in northern Ukraine in a missile and drone attack and caused a huge fire that released chlorine into the air , Ukrainian officials said on Tuesday.
The fumes came from an industrial facility that was attacked in the western region of Ternopil
  Ukrainian forces shot down three ballistic missiles and 25 of the 26 drones launched in Tuesday morning's attack on nine regions, Ukraine's air force commander said.
Ukrainian drones attacked an oil storage facility in Russia's southern Rostov region on Sunday, causing a large fire, the local governor said.
  
Russian air defences shot down 11 Ukrainian drones targeting Moscow, “one of the largest” such strikes ever against the capital, officials said on Wednesday.
  ",Russio-Ukraine
25,"What was targeted by Ukrainian drones in Russia's southern Rostov region? 
a) An energy plant 
b) A factory 
c) An oil storage facility 
d) A military base",c,Comparative Questions,"Mayor says no damage or casualties reported as 11 drones are downed  Live feed  Good morning and welcome to our coverage of the Russia-Ukraine war.
Russia hit energy infrastructure in northern Ukraine in a missile and drone attack and caused a huge fire that released chlorine into the air , Ukrainian officials said on Tuesday.
The fumes came from an industrial facility that was attacked in the western region of Ternopil
  Ukrainian forces shot down three ballistic missiles and 25 of the 26 drones launched in Tuesday morning's attack on nine regions, Ukraine's air force commander said.
Ukrainian drones attacked an oil storage facility in Russia's southern Rostov region on Sunday, causing a large fire, the local governor said.
  
Russian air defences shot down 11 Ukrainian drones targeting Moscow, “one of the largest” such strikes ever against the capital, officials said on Wednesday.
  ",Russio-Ukraine
